Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
50-52 Lorne St,42.293979,-71.091493,0,0,0,0,0,0,10500000,0,Apartment,1900,1,2016
97 Norfolk St,42.28865,-71.075734,0,0,0,0,0,0,10500000,0,Three-Family,1900,1,2016
278 Newbury St,42.349272,-71.084131,0,0,0,0,1,3,10491500,11138000,Apartment,1905,3,2007
25 Commonwealth Ave #25,42.353346,-71.073873,0,0,0,0,1,0,10475000,5600000,Condominium,1890,3,2017
776 Boylston St #W11B,42.348809,-71.081814,0,0,0,0,1,0,10300000,0,Condominium,2008,1,2012
448 Beacon St #5,42.351186,-71.088208,0,0,0,0,1,0,10250000,0,Condominium,2016,1,2016
1 Dalton St #4902,42.345267,-71.084125,0,0,0,0,1,0,10200000,0,Condominium,2015,1,2021
25 Beacon St #2,42.357195,-71.06499,0,0,0,0,0,0,10200000,0,Condominium,2017,1,2018
1 Dalton St #4802,42.345267,-71.084125,0,0,0,0,1,0,10050000,0,Condominium,2015,1,2019
1 Dalton St #4901,42.345267,-71.084125,0,0,0,0,1,0,10040000,0,Condominium,2015,1,2021
56 Beacon St,42.356544,-71.068338,0,0,0,0,0,0,10025000,2950000,Single-Family,1819,2,2004
1 Dalton St #4904,42.345267,-71.084125,0,0,0,0,1,0,10000000,0,Condominium,2015,1,2019
10 Rowes Wharf #PH6,42.356948,-71.050571,0,0,0,1,1,0,10000000,0,Condominium,1987,1,2022
111 Kilsyth Rd,42.340434,-71.146511,0,0,0,0,0,0,10000000,0,Apartment,1920,1,2000
114 Hemenway St,42.342767,-71.090172,0,0,0,0,0,0,10000000,0,Apartment,1899,1,2001
527 Beacon St,42.350414,-71.090744,0,0,0,0,1,0,9950000,0,Apartment,1899,2,2022
55 Commonwealth Ave,42.352765,-71.076048,0,0,0,0,1,0,9885000,8230000,Apartment,1875,2,2013
75-75A E Dedham St,42.338778,-71.069212,0,0,0,1,0,1,9814000,14229000,Two-Family,1920,3,2014
776 Boylston St #W12A,42.348809,-71.081814,0,0,0,0,1,0,9800000,3050000,Condominium,2008,3,2020
1 Dalton St #5202,42.345267,-71.084125,0,0,0,0,1,0,9750000,0,Condominium,2015,1,2020
10 Marlborough St,42.35446,-71.072448,0,0,0,0,1,0,9750000,0,Single-Family,1905,1,2014
89 Marlborough St,42.353629,-71.076189,0,0,0,0,1,0,9625000,0,Single-Family,1905,1,2019
48-52 Phillips St,42.36025,-71.068341,0,0,0,0,0,0,9600000,0,Apartment,1899,1,2019
